fund_code,credit_ratio,convertible_ratio,leverage_ratio,dur_sensitive,cr5_bond,neg_alert,pick_effect
000037,1.052204,0.0,1.15601457,2.48298344,0.07285676,0.0,
000128,,,,,,,-0.00813809
000134,,,,,,,-0.00642541
000143,0.708152,0.102817,1.09783667,2.04904601,0.11098118,0.0,
000212,,,,,,,-0.00429459
000385,0.565297,0.043847,1.07735249,1.30443681,0.13757021,0.0,
001235,0.670461,0.091576,1.09485636,2.40331718,0.17225086,0.0,
001257,0.638574,0.129228,1.07847282,3.25460779,0.25288785,0.0,
001751,0.666864,0.225343,1.15002625,2.25033023,0.11793318,0.0,
002065,0.697302,0.006626,1.07261454,1.53419133,0.12556491,0.0,
002351,0.672965,0.005793,1.05835287,2.39769149,0.13694314,0.0,
002474,0.208656,0.19968,1.04491318,4.86788156,0.32476802,0.0,
002603,0.906361,0.0,1.1712504,3.34024963,0.14827055,0.0,
002750,1.668661,0.0,1.53708076,,0.0632703,0.0,
002796,0.707303,0.016925,1.08853258,2.56320027,0.14146843,0.0,
002898,1.138946,0.0,1.19471856,,0.05116337,0.0,
003213,0.498793,0.0,1.00043848,2.60964455,0.19655687,0.0,
003280,0.838707,0.0,1.0359557,2.00046117,0.20231077,0.0,
003285,0.913738,0.0,1.30627209,2.70035783,0.18042059,0.0,
003313,0.283887,0.0,1.00034368,2.49267333,0.23990514,0.0,
003504,0.535046,0.140976,1.19519321,4.18722344,0.38825605,0.0,
003528,1.55282,0.0,1.6869706,,0.09493839,0.0,
003832,0.37953,0.0,1.00030977,2.60466244,0.21377021,0.0,
003929,0.367078,0.0,1.00030475,2.55076515,0.29889603,0.0,
003949,1.039486,0.0,1.21753761,3.32850882,0.18101051,0.0,
004388,0.834115,0.0,1.09700736,3.55424141,0.15046888,0.0,
004722,0.283674,0.0,1.00030469,2.71733175,0.20519862,0.0,
005121,0.348246,0.1476,1.11811236,2.21965237,0.2258697,0.0,
005309,0.469861,0.0,1.0003577,3.12734353,0.21797803,0.0,
005455,1.318453,0.0,1.23563885,3.03974904,0.1800364,0.0,
005974,0.592097,0.0,1.03892528,1.71467615,0.18622895,0.0,
005984,0.37193,0.149422,1.05388448,4.53516862,0.34817465,0.0,
006591,0.969187,0.0,1.13027746,1.06148151,0.07423505,0.0,
006609,0.987713,0.0,1.14172079,1.90322557,0.09047463,0.0,
006758,0.0,0.0,1.21375901,3.59067786,0.34418588,0.0,
006839,0.58709,0.006615,1.09014604,4.31442969,0.21604889,0.0,
006985,0.861264,0.0,1.20155735,4.20703191,0.17869923,0.0,
007194,1.064907,0.0,1.19006059,1.69555,0.03836299,0.0,
007562,0.553804,0.095221,1.15972545,3.34383262,0.18565871,0.0,
007988,1.212718,0.0,1.25067349,,0.48374908,0.0,
008014,0.561519,0.0,1.56843929,,0.64836048,0.0,
008048,0.0,0.0,1.31241821,,0.90348192,0.0,
008117,0.402974,0.0,1.40609538,,0.61065515,0.0,
008204,0.901303,0.0,1.10770864,1.71594575,0.07036215,0.0,
008338,0.22915,0.0,1.43914085,,0.60970987,0.0,
008566,,,,,,,-0.00568592
009093,,,,,,,-0.00890073
009100,0.39772,0.0,1.022133,1.33781254,0.23389671,0.0,
009121,0.796631,0.0,1.07616574,1.97196258,0.20881092,0.0,
009196,0.228272,0.0,1.01151946,4.12611927,0.54226434,0.0,
009417,0.0,0.0,1.58230284,,0.85574405,0.0,
009738,1.074444,0.0,1.42252427,,0.56004658,0.0,
010056,0.923917,0.101301,1.28930275,3.2519271,0.14935532,0.0,
010232,0.0,0.0,1.17043244,3.13615422,0.2203368,0.0,
010477,0.0,0.0,1.1827882,4.83288837,0.38875071,0.0,
010605,0.314181,0.00166,1.01793667,2.95295,0.39318436,0.0,
010923,0.530627,0.001058,1.33940626,8.77978857,0.30566015,0.0,
011803,0.583053,0.010678,1.02977467,2.01534944,0.19904955,0.0,
011985,,,,,,,-0.00267353
012465,0.905436,0.0,1.24360865,2.62013878,0.16540533,0.0,
012951,0.772287,0.0,1.01037861,2.73471555,0.11357605,0.0,
013236,0.881371,0.0,1.01452447,0.36627645,0.13438239,0.0,
014000,0.639907,0.021614,1.10900564,3.21153101,0.09728171,0.0,
014088,0.435468,3.7e-05,1.05824105,3.89723647,0.16913611,0.0,
014362,0.506381,0.002886,1.11759261,2.7506,0.24173891,0.0,
014678,0.837198,0.061454,1.06934872,3.19976913,0.1590022,0.0,
014767,0.222518,0.0,1.00432488,4.89219065,0.48766277,0.0,
014775,0.574595,0.092387,1.05426658,3.55244448,0.18221511,0.0,
014846,0.56816,0.0,1.17895935,6.39014502,0.19418658,0.0,
015716,0.714467,0.0,1.0288017,3.53794529,0.14708646,0.0,
016189,0.0,0.0,1.01209977,2.27816731,0.48547044,0.0,
016483,,,,,,,-0.00365849
016674,,,,,,,-0.00909493
016748,,,,,,,-0.00215578
016869,0.415116,0.0,1.05653326,6.44020267,0.24554166,0.0,
016947,,,,,,,-0.01410987
017421,0.831554,0.004599,1.08584093,3.10936112,0.19415134,0.0,
017438,,,,,,,-0.01090599
017793,,,,,,,0.00594853
018192,,,,,,,-0.00312691
018444,0.0,0.0,1.03076741,4.19765479,0.4464785,0.0,
018977,,,,,,,-0.0145763
019487,,,,,,,-0.00402967
019541,,,,,,,-0.00840356
019752,0.780278,0.001795,1.00896208,3.01551653,0.15936121,0.0,
020259,,,,,,,-0.0045217
022407,0.0,0.0,1.00147702,2.8705111,0.2912293,0.0,
110007,0.452569,0.027835,1.22537392,5.38764345,0.44169033,0.0,
110017,0.738913,0.050483,1.0569198,2.38400616,0.17214765,0.0,
110051,0.901973,0.0,1.10340954,1.07232987,0.12459876,0.0,
160323,0.816516,0.015778,1.08346429,3.26156055,0.11252496,0.0,
161115,1.030547,0.033616,1.11506159,2.62677332,0.15377731,0.0,
202101,0.642517,0.025902,1.22430687,3.34103565,0.14443272,0.0,
217022,0.840192,4.6e-05,1.01696796,1.38688524,0.17533089,0.0,
217023,0.879756,0.002872,1.07975782,2.88722476,0.13772048,0.0,
270048,1.00015,0.0,1.17694946,2.80592956,0.08552301,0.0,
400030,1.207132,0.0,1.23077044,3.70851472,0.05998116,0.0,
511030,0.994837,0.0,1.00161208,1.98690488,0.06364686,0.0,
511220,1.008785,0.0,1.14263941,3.12527322,0.03191817,0.0,
511360,0.817066,0.0,1.0087182,0.36132543,0.04114426,0.0,
511380,0.0,0.977308,1.01532487,,0.18014944,0.0,
511520,0.0,0.0,1.00984291,7.49447022,0.56613008,0.0,
519945,,,,,,,-0.00832209
590009,0.685242,0.106294,1.00794542,3.48054942,0.08439262,0.0,
675111,1.049522,0.099405,1.23519604,2.77205319,0.05334453,0.0,
